"","Orden incial","El lugar que habitan es:","Contrato firmado","Costo actual","Aumento ultimo año","Porcentaje aumento"
"165",165,"Prestado",NA,NA,NA,NA
"166",166,"Alquilado","No",15000,5000,0.5
"167",167,"Propio sin títulos",NA,NA,NA,NA
"168",168,"Prestado",NA,NA,NA,NA
"169",169,"Ocupado/Tomado",NA,NA,NA,NA
"170",170,"Ocupado/Tomado",NA,NA,NA,NA
"171",171,"Ocupado/Tomado",NA,NA,NA,NA
"172",172,"Ocupado/Tomado",NA,NA,NA,NA
"173",173,"Ocupado/Tomado",NA,NA,NA,NA
"174",174,"Ocupado/Tomado",NA,NA,NA,NA
"175",175,"Ocupado/Tomado",NA,NA,NA,NA
"176",176,"Ocupado/Tomado",NA,NA,NA,NA
"177",177,"Ocupado/Tomado",NA,NA,NA,NA
"178",178,"Ocupado/Tomado",NA,NA,NA,NA
"179",179,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"180",180,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"181",181,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"182",182,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"183",183,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"184",184,"Ocupado/Tomado",NA,NA,NA,NA
"185",185,"Ocupado/Tomado",NA,NA,NA,NA
"186",186,"Propio sin títulos",NA,NA,NA,NA
"187",187,"Ocupado/Tomado",NA,NA,NA,NA
"188",188,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"189",189,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"190",190,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"191",191,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"192",192,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"193",193,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"194",194,"Propio con algún comprobante de tenencia",NA,NA,NA,NA
"195",195,"Ocupado/Tomado",NA,NA,NA,NA
"196",196,"Propio sin títulos",NA,NA,NA,NA
"197",197,"Ocupado/Tomado",NA,NA,NA,NA
"198",198,"Ocupado/Tomado",NA,NA,NA,NA
"199",199,"Ocupado/Tomado",NA,NA,NA,NA
"200",200,"Ocupado/Tomado",NA,NA,NA,NA
"201",201,"Ocupado/Tomado",NA,NA,NA,NA
"202",202,"Alquilado","No",18000,3000,0.2
"203",203,"Ocupado/Tomado",NA,NA,NA,NA
"204",204,"Ocupado/Tomado",NA,NA,NA,NA
"205",205,"Ocupado/Tomado",NA,NA,NA,NA
"206",206,"Ocupado/Tomado",NA,NA,NA,NA
"207",207,"Ocupado/Tomado",NA,NA,NA,NA
"208",208,"Ocupado/Tomado",NA,NA,NA,NA
"209",209,"Ocupado/Tomado",NA,NA,NA,NA
"210",210,"Ocupado/Tomado",NA,NA,NA,NA
"211",211,"Ocupado/Tomado",NA,NA,NA,NA
"212",212,"Ocupado/Tomado",NA,NA,NA,NA
"213",213,"Ocupado/Tomado",NA,NA,NA,NA
"214",214,"Ocupado/Tomado",NA,NA,NA,NA
"215",215,"Ocupado/Tomado",NA,NA,NA,NA
"216",216,"Ocupado/Tomado",NA,NA,NA,NA
"217",217,"Ocupado/Tomado",NA,NA,NA,NA
"218",218,"Ocupado/Tomado",NA,NA,NA,NA
"219",219,"Ocupado/Tomado",NA,NA,NA,NA
"220",220,"Ocupado/Tomado",NA,NA,NA,NA
"221",221,"Ocupado/Tomado",NA,NA,NA,NA
"222",222,"Ocupado/Tomado",NA,NA,NA,NA
"223",223,"Ocupado/Tomado",NA,NA,NA,NA
